,0
spotify:artist:4tXWjHxAVoFzfCb92eb5ip,"Sophie-Tith,31"
spotify:artist:694pBF9e4kbYFXyk3AuInu,"Dyme Def,30"
spotify:artist:3MR638pug3LlFmzFGAzjTl,"Selton,40"
spotify:artist:4IELX7NrLBXuw8f51cUZuM,"Mates of State,33"
spotify:artist:3GSt4ZSP1wEtdbcTTbwjpW,"Foxes In Fiction,35"
spotify:artist:0bbL6moYLUu792U2ZdWgXU,"Las Aves,35"
spotify:artist:3bM1MZ42q6lUJqHDaDwcKr,"Marie-Flore,45"
spotify:artist:3MPQqC01WYh7J6BImoGCwG,"Romana Danina,23"
spotify:artist:4BFwCPazCgskaVOV5mfb8s,"John Canada,30"
spotify:artist:0J5szBnIxlzWYAjYQeckrm,"Robert Shirey Kelly,31"
spotify:artist:2E7iSyZ5Mv8x5mGu1RcKzT,"Mishima,41"
spotify:artist:7pq7EnlN1IHSyffRTklSqP,"Young Jesus,27"
spotify:artist:4DQYOwqipb8qphMdd7pl7p,"bigott,37"
spotify:artist:3VTOX67YHTwBQYMziLavBj,"Catherine Ringer,39"
spotify:artist:3VUd05PM2PauP773gxkrhG,"The Kings Dead,27"
spotify:artist:1vSHzGHsVOCrgPSCmKNimP,"Jean-Louis Murat,41"
spotify:artist:23ClC9ZTPx7TaMPKE7xxfr,"Walsh,20"
spotify:artist:485fNlpL5VqPMo55UsXmiQ,"p n v .,46"
spotify:artist:66g3ybCzTYusaxjoARIBEw,"The Rodeo,27"
spotify:artist:6zsE1lMVbnM4dLoCWah7Fu,"Hotspur,23"
spotify:artist:7CXZYKrw256IEwo0ercS2u,"Louise Verneuil,25"
spotify:artist:51Hx65ymA6pNWu8cTTXET1,"Rufus T. Firefly,44"
spotify:artist:2erjv4mbhMyhxpGlCup7jL,"Rumspringa,32"
spotify:artist:7ls2WeFdaXVNgCq5zWKDjF,"Le Parody,29"
spotify:artist:60DBQyJdsDMwQxr4cZ9twV,"The Sunday Drivers,34"
spotify:artist:1ysmkH7bwM193VEqdtwgfn,"Niños Mutantes,46"
spotify:artist:5Q1J5NzWPdZcj26K5DqIDQ,"Giorgio Canali,35"
spotify:artist:4m9uyzV105Mtdiz7mEco9J,"Silly Boy Blue,31"
