,0
spotify:artist:7ppwXAQNWfPDGu22hCk5Yr,"The Cleaners From Venus,43"
spotify:artist:0oM8RWZXhJYSnzGdepP7fM,"Aaron Shust,50"
spotify:artist:1lMaDSraU3oiNUsVWJLHdF,"Jars Of Clay,47"
spotify:artist:0NZsNnETGPWLKJj2Y0vpBx,"CHAI,38"
spotify:artist:4PEQbhvNPxwVDzi8ArDorB,"Dave Not Dave,36"
spotify:artist:2PnETbh55Irnv3VAFBALfd,"Dot Hacker,33"
spotify:artist:4zCbNayYzorqdzd9mPrghW,"Acceptance,42"
spotify:artist:3RthMq3xfDQZl80cMEg1JQ,"Finish Ticket,41"
spotify:artist:6VsE82GTo7eDAW9XaDO7wD,"Deal Casino,39"
spotify:artist:0O1UtbTe4ca7HabaiMhYZ7,"KIRINJI,50"
spotify:artist:2KmAhNcPz1C3oz0rS4iMlx,"Sick Joy,21"
spotify:artist:6paRdA1dkAEb0dWcIS4TOp,"Buffalo Tom,35"
spotify:artist:4KKQvsAWZWMkS1QCuPnajG,"WATERS,38"
spotify:artist:2idymNTKUdnTxforkb12Mw,"Matthew Sweet,44"
spotify:artist:194t6dRuvsKUfqu6J21g5K,"The Blue Van,36"
spotify:artist:0Jn8rIJ5ebXnyZh9s5bI4l,"Spoken,43"
spotify:artist:0O0g9JMOVNoIgLG6dgaYMY,"Robyn Hitchcock,33"
spotify:artist:4pwFBExMdUoRMvOMD2ajBT,"The Herd,42"
spotify:artist:73ib5ljBj2xAIR7R3hTwF4,"The Ark,49"
spotify:artist:7tyrh2CwSnilzMD8olQxcx,"LUCKY TAPES,47"
spotify:artist:680qtSVCs3xqNWqZd4khh5,"Plague Vendor,35"
spotify:artist:1kmmvExwG8zvYSADt6V09T,"The Panics,34"
spotify:artist:3NmdKZUM96z7NGvL35g5PC,"The Rentals,34"
spotify:artist:3uC7RGF9NH9DIJWq92UB6O,"Sky Sailing,37"
spotify:artist:1jl7jCbWw8fQApXAgP7vQN,"Middle Class Rut,39"
spotify:artist:01PBXLThJADrhufsPS5tER,"Audio Adrenaline,46"
spotify:artist:1WycSxPCDVrFmadezeD8sO,"John Lindberg Trio,45"
spotify:artist:7AhDVqsNA5q46WKsRPXvoe,"Son Volt,45"
spotify:artist:2ghTzEV6dCWpF9BDF9Kp3y,"The New Roses,39"
spotify:artist:22P5BkhcPUCtDGC9laXpDM,"Blackout Problems,40"
spotify:artist:2BM933ADIluGGrPBOhPgIt,"SiM,47"
spotify:artist:3cAGUcRbwsFHwKbJv8FT4T,"Jay Reatard,41"
spotify:artist:4MlrZKzgi3UuZi2iDKjOar,"Art vs Science,42"
spotify:artist:5hbH3dvtk49g07qpc1QwPe,"Ted Leo and the Pharmacists,35"
spotify:artist:6duFEnexUva5UMe40WbV4v,"Cut Glass Kings,29"
spotify:artist:4a2nAPF15Gv8V65Ba3IJSB,"The Olivia Tremor Control,37"
spotify:artist:4tEmJrqsn6ePHw8pbBz80B,"Freeze the Atlantic,22"
spotify:artist:6QFvg2hQPuKANoGKZAwoRG,"Lipali,35"
spotify:artist:07PkYuHKeec24az6lKeUS5,"People In The Box,40"
spotify:artist:1pnciyHx1BO7b1EqyatTrx,"D.A.N.,37"
spotify:artist:06KgaEpSluofkcChSo7TNr,"The Smithereens,43"
spotify:artist:1Ng8jGC4dL0gkkuh77pbpX,"Newsong,44"
spotify:artist:6PE9YfygcKpsaMOqiBx6JG,"Męskie Granie Orkiestra,36"
spotify:artist:0JROVv4P85ZVPFbaJIqAty,"Kiro Akiyama,52"
spotify:artist:07jc1IMGtecDZzOL9cP50t,"Days Of The New,53"
spotify:artist:5dg3YtsiR8ux6amJv9m9AG,"Erik Grönwall,37"
spotify:artist:0alRw2BasYQZdFSJLfLbIY,"Shawn McDonald,42"
spotify:artist:6PcCgi0ladfogWN4ZEAwn1,"illion,42"
spotify:artist:1MzX4V5lr6RlhWbLNRq25b,"Ben Ottewell,17"
spotify:artist:4rCLXPaqaUjGa1aHDwkviR,"Diesel,44"
spotify:artist:1iES8Ckei3eLmSBPo4vwU7,"The Black Sorrows,44"
spotify:artist:6sGx32zrdgpSQybEVnywmT,"Starfield,38"
